CPU_Usage,Memory_GB,Latency_ms,Risk_Score,Status
89.2559,62.685863,956.95746,1.5313,Critical Alert
94.04586,58.65341,785.74536,1.356,Critical Alert
81.01134,53.630615,993.5618,1.305,Critical Alert
90.63544,58.005993,827.0135,1.3399,Critical Alert
89.11431,58.882236,889.89276,1.3978,Critical Alert
93.27285,62.843536,846.9771,1.4767,Critical Alert
92.65876,56.423958,938.5494,1.4588,Critical Alert
98.65153,59.48189,990.1739,1.6474,Critical Alert
92.556854,58.637974,784.53125,1.3333,Critical Alert
98.440216,61.10981,870.9044,1.5469,Critical Alert
94.40594,61.967815,731.4381,1.3585,Critical Alert
92.52483,62.361366,997.8527,1.615,Critical Alert
94.99612,58.930588,771.7436,1.3595,Critical Alert
97.47932,52.42462,886.7381,1.4085,Critical Alert
86.82725,60.871918,978.3891,1.4896,Critical Alert
91.236336,63.13261,830.0647,1.4349,Critical Alert
95.181175,62.136528,982.4459,1.6331,Critical Alert
76.48098,58.435223,977.8708,1.3023,Critical Alert
96.33945,49.294506,963.63916,1.4214,Critical Alert
87.95818,58.48616,871.7204,1.356,Critical Alert
89.39897,53.339203,912.598,1.3354,Critical Alert
85.56961,61.643017,983.1759,1.4892,Critical Alert
95.05311,54.39026,914.8881,1.4352,Critical Alert
98.8036,50.22578,792.7052,1.2939,Critical Alert
96.64174,58.32567,893.7504,1.4998,Critical Alert
99.38484,60.96987,679.33246,1.359,Critical Alert
92.63826,56.728355,802.4514,1.322,Critical Alert
95.744804,56.13614,867.9792,1.4247,Critical Alert
92.922806,61.669746,784.5651,1.3878,Critical Alert
96.34992,51.6732,830.3257,1.3217,Critical Alert
96.27683,48.793686,876.2788,1.3216,Critical Alert
96.0627,52.79213,823.17053,1.3283,Critical Alert
91.84264,63.2258,681.91876,1.2911,Critical Alert
96.68455,54.69587,858.1902,1.4045,Critical Alert
84.84254,54.783695,931.6005,1.3138,Critical Alert
97.85255,51.589943,950.3051,1.4664,Critical Alert
97.02571,63.165855,626.0157,1.3057,Critical Alert
95.98628,59.561405,702.97705,1.3123,Critical Alert
92.71238,47.005856,995.025,1.3652,Critical Alert
96.99265,61.714672,652.5508,1.3092,Critical Alert
96.14923,61.03047,690.9715,1.326,Critical Alert
98.35672,50.79653,836.76843,1.3426,Critical Alert
75.728294,59.303226,967.2366,1.2947,Critical Alert
89.79646,58.270523,862.64746,1.3692,Critical Alert
99.77494,63.626236,633.47845,1.36,Critical Alert
99.65263,62.19418,598.65436,1.2988,Critical Alert
95.23868,54.86203,809.9954,1.3365,Critical Alert
82.95627,56.015644,986.90106,1.3645,Critical Alert
96.67342,54.864506,972.8136,1.5262,Critical Alert
96.27326,50.187355,962.28107,1.4335,Critical Alert
91.220825,61.70841,733.3835,1.311,Critical Alert
76.23612,60.47738,978.9471,1.3331,Critical Alert
79.13107,59.6138,961.13025,1.3417,Critical Alert
80.51192,62.677547,960.8248,1.4109,Critical Alert
80.36935,58.525196,971.3366,1.3523,Critical Alert
81.7822,54.991962,976.8213,1.3206,Critical Alert
98.14214,60.132607,649.8928,1.2971,Critical Alert
86.809814,51.336956,945.4988,1.3002,Critical Alert
91.513885,52.914597,918.5616,1.3647,Critical Alert
85.451546,62.697662,855.31506,1.3718,Critical Alert
84.55108,62.9091,831.1688,1.3373,Critical Alert
99.92073,63.26684,639.38855,1.3624,Critical Alert
95.59801,60.514366,998.19196,1.6291,Critical Alert
81.67934,61.41343,952.7651,1.3985,Critical Alert
83.61186,61.6262,915.8482,1.3911,Critical Alert
92.32237,63.48599,725.85455,1.3478,Critical Alert
94.57765,62.704857,921.72174,1.5707,Critical Alert
99.16862,42.84087,949.24994,1.3418,Critical Alert
78.92906,62.955666,949.5918,1.3812,Critical Alert
89.67465,60.56581,753.3804,1.2913,Critical Alert
87.13336,55.011707,985.0994,1.4057,Critical Alert
99.742294,63.415443,881.6019,1.614,Critical Alert
97.121994,53.53866,978.83813,1.5173,Critical Alert
98.35973,50.50013,997.06903,1.5045,Critical Alert
96.46905,51.53989,860.2099,1.3522,Critical Alert
89.207436,59.25385,881.77026,1.3967,Critical Alert
83.157394,57.733116,895.4787,1.3002,Critical Alert
96.27848,54.365707,773.191,1.305,Critical Alert
93.1535,58.872066,833.4148,1.3964,Critical Alert
93.213394,63.239166,882.2048,1.5189,Critical Alert
86.10629,62.950752,950.8099,1.4844,Critical Alert
85.78892,55.312607,910.77496,1.3142,Critical Alert
99.280396,53.240776,886.9579,1.4477,Critical Alert
75.16798,62.595036,947.0262,1.3192,Critical Alert
98.59916,56.895008,888.7912,1.4993,Critical Alert
96.00119,59.840893,709.24036,1.3236,Critical Alert
80.97885,58.656876,997.7175,1.3905,Critical Alert
95.99167,61.292984,995.64966,1.6447,Critical Alert
93.28462,45.012928,959.70355,1.3043,Critical Alert
90.89178,57.111675,803.57324,1.3046,Critical Alert
92.79342,56.122196,998.84564,1.5185,Critical Alert
87.12718,58.471603,912.8394,1.3867,Critical Alert
92.57886,59.66788,839.7701,1.4078,Critical Alert
88.39978,63.640774,737.21924,1.3063,Critical Alert
97.28944,55.05227,815.6485,1.3747,Critical Alert
90.81896,59.344807,967.7737,1.5105,Critical Alert
93.85856,60.330387,818.7219,1.4148,Critical Alert
95.06118,59.381832,864.97656,1.4646,Critical Alert
97.84945,41.467823,947.4157,1.2988,Critical Alert
98.14157,59.346672,946.4828,1.5925,Critical Alert
97.59831,53.263218,905.6881,1.4436,Critical Alert
90.63542,55.47768,844.4159,1.3169,Critical Alert
97.64132,55.77405,954.2786,1.5355,Critical Alert
97.40312,50.27477,934.5746,1.4222,Critical Alert
86.875725,51.902046,951.097,1.3161,Critical Alert
87.503456,61.42279,865.1221,1.3904,Critical Alert
95.50986,63.223743,812.4061,1.4788,Critical Alert
98.20446,62.142784,789.8082,1.4761,Critical Alert
94.95374,59.94725,732.40314,1.3345,Critical Alert
92.91164,61.25222,859.9399,1.4592,Critical Alert
85.29561,57.2229,949.0074,1.378,Critical Alert
85.42677,58.1683,872.7372,1.3159,Critical Alert
90.174164,46.59362,971.07697,1.2975,Critical Alert
96.579155,52.204975,899.81,1.4058,Critical Alert
98.13771,49.59479,831.83215,1.3149,Critical Alert
89.45389,62.555843,962.4858,1.5378,Critical Alert
90.355934,62.11766,735.3718,1.3075,Critical Alert
88.969376,55.686684,999.3888,1.4576,Critical Alert
93.59551,61.39394,896.71875,1.5094,Critical Alert
85.10919,56.538692,887.5769,1.3004,Critical Alert
98.59719,59.849167,878.2426,1.5363,Critical Alert
99.830696,51.643734,881.11127,1.4235,Critical Alert
94.58444,44.263733,972.3078,1.3237,Critical Alert
82.067535,60.42393,915.29395,1.349,Critical Alert
89.04222,59.724182,988.96936,1.5134,Critical Alert
92.139755,58.957127,937.3346,1.4913,Critical Alert
90.71174,62.4301,715.89325,1.2974,Critical Alert
92.44301,48.52966,910.366,1.2982,Critical Alert
98.40182,55.555096,963.5367,1.5523,Critical Alert
95.36565,61.245846,761.7874,1.392,Critical Alert
84.77903,61.46152,976.47894,1.468,Critical Alert
99.819786,60.04071,661.2167,1.3312,Critical Alert
94.43322,46.81489,908.5209,1.2967,Critical Alert
86.3027,63.984646,999.9131,1.5551,Critical Alert
99.73811,41.635662,939.4585,1.3201,Critical Alert
95.97269,44.63598,944.08716,1.3202,Critical Alert
87.93234,63.97276,975.3485,1.5525,Critical Alert
99.29035,58.037773,703.33716,1.3349,Critical Alert
92.532974,60.348152,884.766,1.4649,Critical Alert
81.19422,57.568783,962.5097,1.3393,Critical Alert
98.32576,62.670708,601.8324,1.291,Critical Alert
91.94296,48.365097,952.3519,1.332,Critical Alert
98.244736,42.89362,919.1065,1.2982,Critical Alert
85.25106,56.116837,926.7674,1.3362,Critical Alert
98.87604,43.20744,974.03015,1.3693,Critical Alert
93.57999,47.190395,984.9976,1.3701,Critical Alert
86.73455,57.54048,946.4689,1.4009,Critical Alert
90.2308,55.08923,971.226,1.4366,Critical Alert
89.67513,49.807053,969.88116,1.3414,Critical Alert
99.992485,60.11953,789.9692,1.4688,Critical Alert
89.733894,61.36382,979.49896,1.5401,Critical Alert
85.23501,60.79642,864.58,1.3474,Critical Alert
89.77052,59.311172,786.7768,1.3069,Critical Alert
99.67626,58.69705,924.7652,1.5812,Critical Alert
88.58827,61.595474,887.1831,1.4316,Critical Alert
89.54453,56.343033,968.33966,1.4442,Critical Alert
